x y
1.76779 0.20010
0.69139 1.96096
1.55308 1.06786
1.15723 1.45205
1.61621 0.41568
1.77376 -0.19193
1.12405 1.64653
1.29217 1.04416
1.33902 1.25344
1.61575 0.39999
1.54555 0.20299
1.71040 0.24820
1.15635 1.07886
1.47930 0.84762
1.60316 0.09277
1.59384 0.32834
1.59247 0.29621
1.90819 0.19233
1.54749 0.53500
0.73045 1.68329
1.17951 1.06583
1.39625 0.43267
0.60206 2.16291
0.59325 2.34114
1.40353 1.01232
1.33417 1.19758
1.71878 0.49949
1.67979 0.11255
1.44668 0.55656
1.60234 0.56351
1.69751 0.70717
1.40937 0.76333
1.15232 1.05091
1.68394 0.36401
1.45864 0.63722
1.76717 0.16507
1.69458 0.37688
1.68461 0.68425
1.19036 1.19027
1.17609 1.06450
1.63004 0.37615
1.62532 0.32436
1.57210 0.74462
1.38291 0.53962
1.72406 0.42011
1.63033 0.16212
1.19313 1.25442
1.57596 0.79622
0.46396 1.43789
1.37566 0.73928
0.72720 2.27991
1.41816 1.06304
1.49947 0.65049
1.64485 0.04753
1.20435 1.06171
1.02338 1.65266
1.59160 0.53880
1.54846 0.74822
1.27875 0.53765
0.98684 1.32029
1.20487 0.94653
1.00408 1.37704
1.57927 0.71232
1.48621 0.86360
1.37346 1.30331
1.61270 0.29112
1.35698 0.70302
1.02461 1.79521
1.50750 0.36436
1.32373 0.92988
1.44055 0.49049
1.67319 0.41713
1.70202 0.26276
1.73882 0.35413
1.71298 0.58405
1.52558 0.60698
1.44640 0.49312
1.77058 0.17507
1.77528 0.15358
1.11650 1.66916
1.47772 1.07781
1.79447 0.67685
1.31927 1.05778
1.79667 -0.03862
0.99782 1.62386
1.44668 0.74131
1.48192 0.29398
1.83236 -0.28701
1.63206 0.33651
1.54407 0.31039
1.47712 0.75851
1.40006 0.76734
1.63939 1.04850
1.58334 0.17966
1.35733 0.76011
1.07993 1.35483
1.58334 0.73954
1.32456 0.86646
1.45703 0.65052
1.62376 0.82329
1.56729 0.38040
0.50612 2.44208
1.53342 0.76073
1.80585 0.09743
1.71719 0.24756
1.39971 0.99594
1.65321 -0.06441
1.50869 1.12129
1.83364 0.14227
1.67520 0.15881
1.04542 1.00874
1.64395 0.94425
1.65562 0.58452
1.18687 1.42798
1.27970 0.62030
1.17913 1.37254
1.70642 0.09906
1.57102 0.64755
1.66276 0.48353
0.39794 2.60842
0.75527 1.66512
0.88908 1.64485
1.68518 0.49877
1.87848 -0.06121
1.34780 1.21553
0.97584 1.31364
1.52111 0.48728
1.58501 0.76239
0.91830 1.39327
1.36800 0.47790
1.74597 0.03113
1.68794 0.45276
0.80790 1.52607
1.48773 0.88343
1.06820 0.90850
1.26856 1.14634
0.75806 1.32148
1.41913 1.00811
1.07978 0.93156
1.38255 1.08480
1.68199 0.09374
1.44716 0.81637
